delivery_distance,order_value,traffic_severity,weather_severity,is_small_basket,is_long_distance,delivery_friction_index,delivery_delay
2.17,42.21,2,2,1,0,2.0,17.15
13.4,24.82,3,1,1,1,2.0,16.04
10.74,37.25,3,2,1,1,2.5,9.09
6.29,49.88,3,2,1,0,2.5,-2.11
2.94,8.53,1,1,1,0,1.0,12.2
12.42,18.08,3,4,1,1,3.5,-0.34
8.83,38.47,1,2,1,0,1.5,0.35
7.12,25.68,1,1,1,0,1.0,-1.31
7.7,43.09,1,2,1,0,1.5,15.55
12.31,21.94,1,1,1,1,1.0,9.38
14.22,5.45,2,4,1,1,3.0,-1.25
3.16,23.95,1,4,1,0,2.5,4.98
3.98,42.35,2,4,1,0,3.0,1.6
4.99,13.76,3,1,1,0,2.0,12.49
9.4,10.31,2,4,1,0,3.0,3.35
4.93,5.39,3,1,1,0,2.0,14.05
3.77,8.48,3,4,1,0,3.5,19.18
3.31,46.15,1,2,1,0,1.5,0.6
7.3,21.11,1,1,1,0,1.0,13.22
11.93,39.61,2,2,1,1,2.0,8.84
7.48,26.81,2,1,1,0,1.5,2.09
13.52,46.08,1,1,1,1,1.0,-1.81
11.97,27.55,1,1,1,1,1.0,16.39
9.62,29.43,1,1,1,0,1.0,-4.52
13.48,47.46,2,2,1,1,2.0,7.27
10.18,43.76,3,4,1,1,3.5,5.19
5.21,36.17,3,4,1,0,3.5,11.5
12.23,14.45,1,2,1,1,1.5,15.33
7.47,35.34,3,2,1,0,2.5,-0.87
6.25,13.32,3,2,1,0,2.5,15.13
8.56,24.65,1,4,1,0,2.5,9.72
4.73,44.68,3,4,1,0,3.5,16.14
3.53,36.31,1,4,1,0,2.5,3.67
8.65,9.43,2,4,1,0,3.0,12.13
14.2,18.91,3,1,1,1,2.0,8.64
5.93,39.9,3,4,1,0,3.5,12.89
14.11,40.09,2,1,1,1,1.5,2.07
7.27,9.71,1,1,1,0,1.0,15.09
10.87,22.58,2,2,1,1,2.0,14.37
8.48,34.62,3,1,1,0,2.0,5.04
13.13,31.61,3,4,1,1,3.5,1.39
12.61,8.51,2,4,1,1,3.0,-1.95
12.34,25.0,3,2,1,1,2.5,6.26
7.33,22.31,3,4,1,0,3.5,14.21
5.79,40.82,1,2,1,0,1.5,-3.27
8.36,43.4,1,4,1,0,2.5,-3.75
2.24,24.48,1,4,1,0,2.5,0.72
8.31,25.13,3,4,1,0,3.5,13.65
7.7,10.8,2,2,1,0,2.0,6.19
3.62,38.18,2,2,1,0,2.0,1.36
10.16,40.61,1,2,1,1,1.5,-9.22
7.37,31.47,1,1,1,0,1.0,15.48
3.05,16.86,3,4,1,0,3.5,3.96
12.34,6.17,1,1,1,1,1.0,-0.68
9.14,15.22,1,4,1,0,2.5,5.46
4.84,38.07,3,4,1,0,3.5,14.93
11.42,14.01,3,4,1,1,3.5,-3.27
11.44,43.75,2,4,1,1,3.0,12.12
